"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-03PBECJ\Processor(_Total)\% Processor Time","\\ASCENDI-03PBECJ\System\Processor Queue Length","\\ASCENDI-03PBECJ\Processor Information(_Total)\% Privileged Time","\\ASCENDI-03PBECJ\Memory\Available MBytes","\\ASCENDI-03PBECJ\Memory\Pages/sec","\\ASCENDI-03PBECJ\Memory\Pool Nonpaged Bytes","\\ASCENDI-03PBECJ\Process(_Total)\Working Set","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Disk Reads/sec","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Disk Writes/sec","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Avg. Disk sec/Read","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Avg. Disk sec/Write","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Current Disk Queue Length","\\ASCENDI-03PBECJ\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Bytes Total/sec","\\ASCENDI-03PBECJ\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Packets/sec","\\ASCENDI-03PBECJ\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Output Queue Length"
"08/25/2025 15:22:53.261"," ","0"," ","4613"," ","253100032","7526391808"," "," "," "," ","0"," "," ","0"
"08/25/2025 15:22:59.812","53.638600947073932446","0","23.611009077632598263","4612","0","253423616","7510315008","0","7.9397208251650059907","0","0.0016229564102564102753","0","38832.360225541000545","44.584586172080420852","0"
"08/25/2025 15:23:06.370","48.021107097572581779","0","20.192651199211749002","4621","0.59931348640132731109","253100032","7494561792","0","2.197482783471533363","0","0.0014700727272727272862","0","367.57893832614740859","3.3961097562741882072","0"
"08/25/2025 15:23:12.325","33.882162043729820766","0","15.153039038051128173","4624","0","253181952","7493103616","0","4.6018558364217119205","0","0.0018418478260869564078","0","423.97097901641768658","3.8015330822614141759","0"
"08/25/2025 15:23:18.239","32.546129916055953402","0","14.791039463203256688","4614","0","253083648","7492227072","0","2.3931086607140881206","0","0.0012590749999999999078","0","116.66404720981179821","1.7948314955355662015","0"
"08/25/2025 15:23:23.598","25.301984157493073724","0","15.968450939368352692","4615","0","253079552","7492210688","0","3.4024241591649215799","0","0.0013547764705882352904","0","0","0","0"
"08/25/2025 15:23:28.908","26.029342738242167599","0","16.992986961230656107","4618","0","253120512","7491620864","0","2.3996776273075477448","0","0.0012390750000000000722","0","116.98428433124294656","1.7997582204806605866","0"
"08/25/2025 15:23:33.737","19.94783385553091648","0","19.820000107691356561","4618","0","253149184","7491682304","0","23.776570092299646575","0","0.0023774605042016804836","0","71.329710276898936172","1.198818660115948509","0"
"08/25/2025 15:23:38.510","18.921233644205248225","0","19.558445422424526328","4617","0","253149184","7490621440","0","1.2008379927848849","0","0.0014399666666666665216","0","69.448463916059182566","1.0006983273207374907","0"
"08/25/2025 15:23:42.847","15.114193332493320199","0","25.400850058146545507","4618","0","253140992","7492419584","0","4.6081954913535527751","0","0.0014208608695652174929","0","496.0822624604955422","5.0089081427756010356","0"
