"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFJBMP-MICROSOFT.WINDOWSSTORE.","20","1",,"2","1","13","-9223372036854775768","8934","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","System","2800","7012","ASCENDI-VEM0NO7","S-1-5-18","8/26/2025 9:43:16 AM","a53f53cd-163c-0001-376c-41a53c16dc01",,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Installation","Windows Update Agent","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NTXGKQ8P7N0-MicrosoftWindows.CrossDevice.","20","1",,"2","1","13","-9223372036854775768","8927","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","System","2800","5628","ASCENDI-VEM0NO7","S-1-5-18","8/26/2025 9:40:14 AM","a53f53cd-163c-0000-5c40-41a53c16dc01",,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Installation","Windows Update Agent","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The system firmware returned an error Unspecified error when attempting to update a Secure Boot variable. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931","1795","0",,"2","0","0","-9223372036854775808","8912","Microsoft-Windows-TPM-WMI","7d5387b0-cbe0-11da-a94d-0800200c9a66","System","1804","4388","ASCENDI-VEM0NO7","S-1-5-18","8/26/2025 9:27:23 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Config Read Failed

Config:	18
Error:	More data is available.","2042","0",,"2","0","0","144115188075855872","8899","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","System","2984","2768","ASCENDI-VEM0NO7","S-1-5-19","8/26/2025 9:22:42 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The previous system shutdown at 10:21:19 PM on ?8/?25/?2025 was unexpected.","6008","0","32768","2","0","0","36028797018963968","8819","EventLog",,"System","476","2156","ASCENDI-VEM0NO7",,"8/26/2025 9:22:20 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"None","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The system firmware returned an error Unspecified error when attempting to update a Secure Boot variable. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931","1795","0",,"2","0","0","-9223372036854775808","8787","Microsoft-Windows-TPM-WMI","7d5387b0-cbe0-11da-a94d-0800200c9a66","System","5760","4952","ASCENDI-VEM0NO7","S-1-5-18","8/25/2025 9:19:29 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Config Read Failed

Config:	18
Error:	More data is available.","2042","0",,"2","0","0","144115188075855872","8777","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","System","2804","2984","ASCENDI-VEM0NO7","S-1-5-19","8/25/2025 9:14:33 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The previous system shutdown at 5:00:27 PM on ?8/?25/?2025 was unexpected.","6008","0","32768","2","0","0","36028797018963968","8695","EventLog",,"System","1776","1844","ASCENDI-VEM0NO7",,"8/25/2025 9:14:26 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"None","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Installation Failure: Windows failed to install the following update with error 0x80073712: 2025-08 Cumulative Update for Windows 11 Version 24H2 for x64-based Systems (KB5063878) (26100.4946).","20","1",,"2","1","13","-9223372036854775768","8684","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","System","1872","316","ASCENDI-VEM0NO7","S-1-5-18","8/25/2025 3:19:43 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Installation","Windows Update Agent","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Installation Failure: Windows failed to install the following update with error 0x80240016: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.435.370.0) - Current Channel (Broad).","20","1",,"2","1","13","-9223372036854775768","8641","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","System","1872","3188","ASCENDI-VEM0NO7","S-1-5-18","8/25/2025 1:32:54 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Installation","Windows Update Agent","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The system firmware returned an error Unspecified error when attempting to update a Secure Boot variable. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931","1795","0",,"2","0","0","-9223372036854775808","8638","Microsoft-Windows-TPM-WMI","7d5387b0-cbe0-11da-a94d-0800200c9a66","System","3820","3284","ASCENDI-VEM0NO7","S-1-5-18","8/25/2025 1:25:54 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Config Read Failed

Config:	18
Error:	More data is available.","2042","0",,"2","0","0","144115188075855872","8628","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","System","2848","2976","ASCENDI-VEM0NO7","S-1-5-19","8/25/2025 1:16:42 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The previous system shutdown at 9:21:54 AM on ?8/?25/?2025 was unexpected.","6008","0","32768","2","0","0","36028797018963968","8534","EventLog",,"System","1760","1820","ASCENDI-VEM0NO7",,"8/25/2025 1:16:26 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"None","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The system firmware returned an error Unspecified error when attempting to update a Secure Boot variable. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931","1795","0",,"2","0","0","-9223372036854775808","8527","Microsoft-Windows-TPM-WMI","7d5387b0-cbe0-11da-a94d-0800200c9a66","System","8344","3400","ASCENDI-VEM0NO7","S-1-5-18","8/25/2025 9:29:56 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
